Título Artículo,Nombre Revista Científica,Resumen,Año
Dynamics of colombian scientific production in economics. a bibliometric study in scopus 2007 - 2019 [Dinámicas de la producción científica colombiana en economía. Un estudio bibliométrico en Scopus 2007 - 2019],Lecturas de Economia,"The objective of this article was to evaluate the trends of scientific production in Economics with Colombian institutional affiliation during the period 2007-2019. A bibliometric analysis was carried out from the information registered in Scopus, through indicators of production, citation and collaboration and the quantitative exploratory analysis method, using the Biblioshiny, Vantage Point and VOSviewer software. The behavior of authors, journals and topics of higher publication visibility such as innovation and economic growth were studied. The main trends in the scientific production of Colombian authors with the highest publication in Scopus, present an annual average growth rate of 13%, in addition to publications in prestigious journals and important networks of national and international collaboration and predominance of coauthored publications (index of 1.8), expanding the connection not only at the level of higher education institutions, but through research institutes. The knowledge of the dynamics of disciplinary research in the study, contributed with information for the management of the scientific activity and the design of future research in Colombia. © 2021 Universidad de Antioquia. All rights reserved.",2021
Innovation capabilities measurement using fuzzy methodologies: a Colombian SMEs case,Computational and Mathematical Organization Theory,"The main aim of this paper is to establish the hidden incidences that can improve specific aspects of beekeeper Small and Medium Enterprises (SME) innovation capabilities in Boyacá-Colombia. The methodology is focused on the use of the expertons model, adequacy coefficient and forgotten effects theory. A questionnaire of 58 items about different innovation management areas is distributed to 14 beekeeper SMEs in the area of Boyacá-Colombia. The findings suggest that there are two specific actions that can improve innovation culture. These actions are related to marketing strategies and product innovation. The innovation strategy has a significant influence on the development of an innovative culture in the beekeeper SMEs; one must have a clear orientation to the innovation objectives in the marketing strategy, which is transferred to the product. Likewise, the utility of fuzzy methods for analysis when information is limited, subjective and scarce is highlighted. Finally, this research can be useful to practitioners and academics because the findings can serve as guidelines to understanding sources and enablers of innovation. In addition, the findings show how fuzzy methods help in contending with incomplete and subjective information, highlighting the meaning of the information rather than its measurement. © 2021, Springer Science+Business Media, LLC, part of Springer Nature.",2021
Economic and social impact of cooperatives with financial activity: Analysis from their determining attributes in two Colombian cities [Incidencia económica y social de las cooperativas con actividad financiera: Análisis desde sus atributos determinantes],Revista Venezolana de Gerencia,"Cooperatives with financial activity stimulate the economy by providing economic resources to individuals and companies that cannot access the banking sector or prefer to belong to the cooperative sector. The objective is to analyze the economic and social impact of these cooperatives in the cities of Montería and Ibagué, Colombia, considering their determining attributes. The study is descriptive with a quantitative approach and 32 financial cooperatives participated. A questionnaire validated by expert judgment and a Cronbach’s Alpha coefficient of 0.815. The results show that the type of user, contracting modality, product offering, surplus growth, investments and advertising strategies, are some of the determining attributes in the management of the cooperatives with financial activity. It is concluded that these entities have an economic and social impact that is reflected in the quality of life of their associates, their families and their environment. Investing in technology and innovation is recommended to meet current and future challenges facing the cooperative sector. © 2021, Universidad del Zulia. All rights reserved.",2021
Seeding resilient restoration: An indicator system for the analysis of tree seed systems,Diversity,"Achieving multi-million-hectare commitments from countries around the world to restore degraded lands in resilient and sustainable ways requires, among other things, huge volumes of tree planting material. Seed systems encompassing all forest reproductive material (e.g., seeds, cuttings, stakes, and wildings), are key to ensuring that sufficient planting material with a diverse range of suitable species, adapted to local conditions and capable of persisting under a changing climate, is available for restoration projects. The ideal structure of a seed system integrates five components: seed selection and innovation, seed harvesting and production, market access, supply and demand, quality control, and an enabling environment. We propose 15 indicators to evaluate these key components and trial them by assessing national seed systems in 7 Latin American countries. We conclude that the indicators enable a straightforward assessment of the strengths and weaknesses of national seed systems, thus assisting governments to identify key areas for improvement and opportunities for horizontal learning. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021
"Science, technology, innovation, theory and evidence: the new institutionality in Colombia",Quality and Quantity,"It is widely recognized that the design and application of suitable and robust science, technology and innovation (STI) policies and appropriate STI institutions promote development, economic growth and competitiveness in the long run. This paper analyses the dynamics of STI in Colombia over the 1995–2019 period to determine its relationship with its most important determinants and its collateral relationship with economic growth as an input affecting different issues; this work takes into account the creation of the new ministry of science, technology and innovation (MSTI) and uses different time series techniques. According to the analysis, a positive relationship exists between investments in research and development, STI activities, and the independence and transparency of STI management by the new MSTI, which could generate higher productivity, technological change, economic growth and development. The results of the models also demonstrate the long-run relationship and short-run dynamics related to STI investment and research results and the importance of transparency and independence. It is important to establish adequate STI governance and allow new ministries to play an important role to achieve a society based on knowledge that produces relevant research, technology and innovation based on the needs and resources of the country. © 2020, Springer Nature B.V.",2021
Assessment of mobile taxi booking apps: An empirical study of adoption by taxi drivers in Medellín-Colombia,Research in Transportation Business and Management,"This paper aims to explore the variables that precede the intention and use of Mobile taxi booking (MTB) Apps as tools for taxi drivers to make contact with customers in the city of Medellin, Colombia. A literature review was carried out to select the variables that most effectively represent the analysed behaviour. The methodology was a quantitative study based on theories technology adoption such as the planned behaviour model, the model of the theory of technology adoption, and the unified theory of acceptance and use of technology. The data was collected in Medellin Colombia by means of surveying taxi drivers who use MTB Apps. The data analysis Partial Least Square (PLS) was used and the result more important is the evidence that taxi drivers take the positives factors that this technology provides to contact customers. © 2020 Elsevier Ltd",2021
"National Network for Knowledge Management, Research, and Innovation in Tuberculosis in Colombia [Rede Nacional de Gestão do Conhecimento, Pesquisa e Inovação em tuberculose na Colômbia] [Red Nacional de Gestión de Conocimiento, Investigación e Innovación en Tuberculosis en Colombia]",Revista Panamericana de Salud Publica/Pan American Journal of Public Health,"In 2018, the Colombian Ministry of Health and Social Protection, in collaboration with the National Health Institute and the Pan American Health Organization, convened all actors associated with the National Tuberculosis Prevention and Control Program (PNPCT) and the National Science, Technology, and Innovation System to form a national network to coordinate operations research on tuberculosis (TB) in the country. Seven workshops were held and a consensus was reached to establish the National Network for Knowledge Management, Research, and Innovation in Tuberculosis in Colombia (TB Colombia Network). With more than 180 participants, a central node, and five regional nodes that bring together the country's 37 territorial entities, the TB Colombia Network conducted four days of training in operations research in 2019, defining 65 priority research topics aligned with the strategic lines in the PNPCT: prevention and comprehensive care, with a focus on people affected by TB (41 topics in three modules); and political commitment, social protection, and support systems (24 topics in four modules). The peer comparison method was used for prioritization. The TB Colombia Network remains active and contributes to knowledge management aimed at eliminating TB in Colombia. It has helped make progress in building plans and implementing local operations research projects that generate scientifically validated results to strengthen the PNPCT and improve the care of TB patients. © 2021 Pan American Health Organization. All rights reserved.",2021
Design of an integrated quality management system for Colombian higher education academic programs,Formacion Universitaria,"In this research study an integrated quality management system is proposed for academic programs in Colombian higher education by considering the Colombian legal requirements and high quality accreditation guidelines, and the ISO 9001 standard. Concepts associated with high quality assurance, quality management, and excellence models in higher education were used as theoretical frameworks. There were three standards used: the Colombia decree 1330 of 2019, the ISO 9001 standard, and the Colombian Agreement 1 of 2020, which establishes the accreditation factors for higher education in Colombia. The results compared their characteristics and requirements. This allowed defining common processes and factors that guarantee the basic structure of an integrated quality management system while generating value for education programs. It is concluded that the ISO 9001 standard provides process management, innovation, and knowledge management. © 2021. All Rights Reserved.",2021
"Methodology for the Governance and Management of the University as a Complex Adaptive System Based on the Three Missions: Research, Education, and Connecting with Its Surroundings","Palgrave Studies in Democracy, Innovation and Entrepreneurship for Growth","Scientific capabilities are a concept subordinated to the productivity metrics of classical scientometrics. This has generated a series of management and evaluation processes of university scientific activity that constrain the understanding of the capacities generated by the institutions themselves. Even in the application of their instruments and policy models, productivity plateaus are achieved that raise questions about the possibility of sustainability and governance of these capacities. The chapter proposes a redefinition of the notion of science, technology, and innovation (STI) capabilities that go beyond the comparison of the relative competitive weight or value of one group with respect to another, but rather in terms of the heterogeneity between types of scientific and technological activity that universities carry out. For this purpose, we conceptualize the university as a complex adaptive system (CAS) in order to propose a methodology for evaluating the expected or planned results in the three missions—training, research, and extension—, in terms of the activation of governance mechanisms. In this context, this chapter focuses, exemplifies, and learns from the analysis and experience of modeling the STI capabilities of the Universidad del Valle de Colombia, through which we offer an alternative to strengthening the governance and management of the university mission. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2021
Community-Based Innovation Ecosystems in Peace-Building and Resilience Contexts,"Palgrave Studies in Democracy, Innovation and Entrepreneurship for Growth","This chapter proposes the concept of Community-Based Innovation Ecosystem, as a framework for analysing communal and transformative innovation processes, particularly in territories affected by armed and social conflicts. In this way, it questions the conventional notion of innovation as a transactional process to open new markets in capitalism, towards a re-signified notion, as a sociotechnical process of collective transformation linked to actions carried out by grassroots organizations and communities. Therefore, the ecology of innovation is used as a biological metaphor for the studies of management and innovation. The case of the Guajuí River Community Council in Guapi—Colombia is described and analysed through the relationships between diverse, historically excluded actors through collaboration in post-conflict or post-agreement contexts. Finally, a series of conclusions are presented regarding the interdependent dynamics of the actors in Guapi, their limitations, opportunities, and future lines of action. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2021
Exploring the enablers and microfoundations of international knowledge transfer,Journal of Knowledge Management,"Purpose: The purpose of this paper is to examine the enablers and barriers influencing international knowledge transfer at the team-level in the context of product innovation within an emerging-market multinational enterprise (EMNE) in the insurance industry. Design/methodology/approach: The research applies an exploratory case study design considering an emerging-market multinational insurance company headquartered in Colombia. Four subsidiaries (El Salvador, Chile, Argentina and Colombia) and the Corporate Office (headquarter) served as the research sites. It also adopts an interpretive research approach providing a grounded theory framework linking international knowledge transfer and product innovation. Findings: The empirical findings emphasize the central role played by the enablers (i.e. shared vision, empathy and knowledge sources) in facilitating international knowledge transfer, which, in turn, enhances product innovation. More important, however, is the detailed explanation that the paper provides regarding the enablers’ microfoundational antecedents in terms of key activities that are performed at the team-level. Research limitations/implications: The grounded theory framework was constructed using data collected in a single firm associated with a particular industry and regional context. The study only considered a single aspect of knowledge management (i.e. knowledge transfer). Other aspects of knowledge management systems, such as knowledge creation and knowledge application, should be used for explaining product innovation in EMNEs more comprehensively. Practical implications: The study suggests a set of enabling conditions and activities that should be adopted by managers of EMNEs to improve international knowledge transfer with the aim of triggering product innovation. This includes the design of strategies for strengthening empathy among geographically dispersed teams by providing opportunities for regular live videoconferences among team members aimed at building close bonds, fostering trust and creating a sense of belonging in which participants get to know each other better and to establish a shared vision and a set of guiding principles and commitments for how the team will work. These suggestions are particularly important today when several multinational enterprises (MNEs) have been forced to rearrange their workplace by replacing face-to-face interactions with virtual work dynamics due to the COVID-19 crisis. Originality/value: Previous studies have confirmed that international knowledge transfer positively influences MNEs’ innovative performance. However, no studies have been conducted linking both variables in the context of EMNEs in Latin America in the service sector. The research tries to fill this gap. Besides, the paper introduces empathy as a novel enabler for international knowledge transfer and a moderator able to diminish the negative effect that cultural differences and geographical barriers have on the knowledge transfer process. © 2021, Emerald Publishing Limited.",2021
Application of the CERT Values Measurement Model for Organizational Culture in the Management and Quality Company,Communications in Computer and Information Science,"At present, it has been shown that very few SMEs have knowledge of the Business Process Management BPM system, which offers a series of strategies and benefits oriented towards processes, using technology systems in terms of information management, evaluating the organizational culture and covering all the operational and business processes of the organization, in order to increase productivity and competitiveness, guaranteeing continuous improvement of internal processes following their life cycle, where they are documented, analyzed, improved, are implemented, and are monitored and controlled. In this study, the BPM culture of an information technology SME, called Management and Quality, was evaluated based on the study carried out by Jan Vom Brocke, in which 4 values are established, which are: customer orientation, excellence, responsibility, and teamwork, called CERT values, the survey adapted to the context of the company and Colombia was applied; As a result, opportunities for improvement in excellence were found represented by the dimensions of continuous improvement and innovation, and in the formal structures, dimension of teamwork, recommendations were made for these findings. © 2021, Springer Nature Switzerland AG.",2021
Management Model and Dynamic Capabilities: Approaches to Knowledge-Intensive Business Services in Emerging Economies,Eurasian Studies in Business and Economics,"Countries with emerging economies such as Mexico, Argentina, Chile, and Colombia are lagging behind China, India, and others in Knowledge-Intensive Business Services (KIBS), due to their organizational inertia to sense and seize new market opportunities and achieve new and innovative ways of competitive advantage. The objective of this paper is to analyze the dynamic capabilities needed to enhance the management model in KIBS in emerging economies context. The study is carried out by gathering and reviewing successful experiences extracted from the literature on management models for KIBS in developed countries, leading emerging economies, and Latin American countries. As a result, the relevance of this type of service is established in some of the most developed economies, as well as the capabilities that have been strengthened in leading emerging countries, such as China and India, to finally propose the actions that Latin American countries can undertake. Main results show the need to embed absorptive cutting-edge knowledge capabilities in KIBS organizations, to consolidate, reinforce, and innovate in processes reflected in competitive services. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2021
Grassroots innovation practices for social transformation of the health and well-being in a self-built settlement in Medellín-Colombia,Health and Social Care in the Community,"Grassroots innovation generates possibilities for the informal and collective production of the territory that the city itself denies, from bottom-up solutions for sustainable development and consumption, which respond to the local situation, interests, and values of the communities involved. This paper aims to identify how grassroots innovation practices take place and are shaped in ‘El Faro’, a self-built settlement at the urban border of the city of Medellín; and how these have allowed the social transformation of health and well-being. This was done from a qualitative approach with an interpretative scope, under the case study methodology. ‘El Faro’ is a space built by its inhabitants, in a process that they have called ""dignity and resistance"", becoming the promoter of what we identify as four ‘grassroots innovation practices’ developed around three main issues: community water management, artistic training and the creation of community public spaces. This process has allowed them, from the capacity of agency, to understand their poverty situation and face it, modifying the conditions that reproduce it and responding to unsatisfied basic needs, based on innovative solutions that guarantee conditions of life with dignity and well-being. Likewise, it generates mechanisms that reduce inequality because the community becomes the main driving agent for the construction of the city and the transformation of the health-disease process, through its community assets. © 2021 John Wiley & Sons Ltd",2021
Democratic Production and Mobilization of Knowledge in Colombia,Communications in Computer and Information Science,"Knowledge is important to the extent it is used. This knowledge use assumes that people know about findings resulting from the investigations that generate it. Production and mobilization of knowledge are not new, nevertheless, such production and mobilization have occurred in developed countries from works and products research. In Colombia, in accordance with the Ministry of Science, Technology and Innovation, 5.772 groups of investigation are recognized by different institutions, and 16.799 researchers. The purpose of this article is to determine what are the means used by researchers in Colombia, to disseminate the results of their investigations. The methodology incorporates primary data, through a validated instrument by experts. Those results confirm that Colombian researchers still use traditional means to spread out such results. Very few of them use the emerging Information and Communication Technology for that purpose. Thus, an opportunity emerges for Researchers regarding the use of ICT in knowledge mobilization. © 2021, Springer Nature Switzerland AG.",2021
Organizational and social innovation in Non-Profit Organizations performance in the context of an emergent economy,Intangible Capital,"Purpose: This study provides empirical evidence on the innovations that Nonprofit Organizations (NPOs) in Colombia have implemented within their own management to address social problems which are the object of their institutional mission. Design/methodology: This research is based on information obtained from a survey applied to executives of Colombian NPOs. Multiple linear regression models were developed to check the partial effect of the set of independent variables (Organizational and Social Innovation) over the dependent variable (Organizational Performance). Main Components Analysis was applied to grouping the considered variables. Findings: Empirical evidence indicates that Colombian NPOs are innovative organizations that advisedly follow management strategies for this purpose. Colombian NPOs have been innovating for their disposition to tackle the social problems implicated in their institutional mission. Evidence indicates that the main components derived from NPOs' organizational and social innovations are grouped into four: NPO innovation actions to adapt to the environment; internal innovation actions to improve NPO's performance; variables related with NPO innovation actions to improve their relations with external agents; innovation actions aimed at improving the management of social interventions associated with the mission of the NPOs and the management of institutional projects. Research limitations/implications: The field work only used the survey technique to obtain the information and only assessed the perception of one of the directors of each of the NPOs participating in the study in terms of both the actions of organizational innovation such as social innovation and organizational performance. Therefore, the study undoubtedly presents bias in that perception. The technique used for the selection of the sample of the participants was a non-probabilistic sampling, which implies bias in the information and therefore, limitation for the generalization of the results to other contexts. The geographical location of the administration of the NPOs was restricted to Bogota and surrounding municipalities. Originality/value: An analysis of the relationship between social and organizational innovations with organizational performance in NPOs was carried out in the context of an emerging economy, where the subject has been very little studied and much less with principal component analysis. This in order to contribute to a better understanding of the subject. © 2021. All Rights Reserved.",2021
Quality certification and firm performance. The mediation of human capital,International Journal of Productivity and Performance Management,"Purpose: This paper investigates the impact of adopting quality management standards like ISO9001 on a firm's performance and the mediator role of human capabilities within firms in this relationship. The article analyses this mediator effect in the context of an emerging economy that set a policy reform aimed at increase ISO adoption and with a large share of informal labour markets. Design/methodology/approach: This study implements a quantitative approach, applying a Difference in Differences-DiD model with a Propensity Score Matching on fixed effect panel data analysis of a sample of certified and non-certified firms using firm-level data obtained from the national statistics office of Colombia. This methodology allows having comparable groups before the policy implementation. It reduces differences in observable characteristics and controls for parallel trends in primary outcomes before the policy reform. Findings: The research findings suggest that after Colombian policy reform of the quality system (2006), firms that adopted ISO 9001 certification increased innovation (5.2%), labour productivity (4.6%), sales (5.7%) and wages (4.9%). Furthermore, it shows that the share of permanent workers is an essential mediator in adopting quality programs. Adopters firms with a large percentage of temporary workers weaken their initial investment in quality infrastructure. Research limitations/implications: This research does not consider one key aspect. This is the lack of information about the organizational culture inside Colombian organizations that is related to a successful implementation of Quality Management standards like ISO 9001. However, it does not affect the conclusion about the mediation effect of human capital in the relationship between ISO 9001 and firm performance. Practical implications: The study covered all the Colombian manufacturing firms with ten or more employees. It provides critical insight for managers to value implementing ISO 9001 certification and appropriately put attention to enhancing their firms' human capital in emerging economies. Also, a policy implication of the paper is that governmental efforts to strengthen quality infrastructure in emerging economies should also include steps to increase a firm's investment in human capital. Originality/value: This study provides further support for government policies to strengthen firms' incentives to adopt modern management practices. The strong effects of implementing these management practices on sales, productivity and innovation have been identified. Furthermore, the investments in quality infrastructure must be accompanied by investment in human capital and workforce stability. © 2021, Emerald Publishing Limited.",2021
